State - Place,Year,Population,Kulkarni - Rank
 MA - Marblehead,1820,5630,32
 NY - Hudson,1820,5310,33
 KY - Lexington,1820,5279,34
 NY - Troy,1820,5264,35
 CT - Hartford,1820,4726,36
 MA - Middleborough,1820,4687,37
 MA - Taunton,1820,4520,38
 MA - Lynn,1820,4515,39
 MA - Plymouth,1820,4348,40
 PA - Reading,1820,4332,41
 MA - Beverly,1820,4283,42
 MA - Roxbury,1820,4135,43
 KY - Louisville,1820,4012,44
 MA - New Bedford,1820,3947,45
 NJ - Trenton,1820,3942,46
 NY - Schenectady,1820,3939,47
 NC - New Bern,1820,3663,48
 MD - Frederick,1820,3640,49
 PA - York,1820,3545,50
 NC - Fayetteville,1820,3532,51
 NJ - Elizabeth,1820,3515,52
 PA - Spring Garden District,1820,3498,53
 CT - Norwich,1820,2983,54
 NY - Utica,1820,2972,55
 PA - Carlisle,1820,2908,56
 NC - Raleigh,1820,2674,57
 NC - Wilmington,1820,2633,58
 CT - Middletown,1820,2618,59
 CT - New London,1820,333,60
 PA - Harrisburg,1820,299,61
 NY - New York City,1810,96373,1
 PA - Philadelphia,1810,53722,2
 MD - Baltimore,1810,46555,3
 MA - Boston,1810,33787,4
 SC - Charleston,1810,24711,5
 PA - Northern Liberties,1810,19874,6
 LA - New Orleans,1810,17242,7
 PA - Southwark,1810,13707,8
 MA - Salem,1810,12613,9
 NY - Albany,1810,10762,10
 RI - Providence,1810,10071,11
 VA - Richmond,1810,9735,12
 VA - Norfolk,1810,9193,13
 DC - Washington,1810,8208,14
 RI - Newport,1810,7907,15
 MA - Newburyport,1810,7634,16
 VA - Alexandria,1810,7227,17
 ME - Portland,1810,7169,18
 NH - Portsmouth,1810,6934,19
 MA - Nantucket,1810,6807,20
 MA - Gloucester,1810,5943,21
 NY - Schenectady,1810,5903,22
 MA - Marblehead,1810,5900,23
 CT - New Haven,1810,5772,24
 VA - Petersburg,1810,5668,25
 MA - New Bedford,1810,5651,26
 PA - Lancaster,1810,5405,27
 GA - Savannah,1810,5215,28
 MA - Charlestown,1810,4959,29
 DC - Georgetown,1810,4948,30
 PA - Pittsburgh,1810,4768,31
 MA - Beverly,1810,4608,32
 NY - Brooklyn,1810,4402,33
 MA - Middleborough,1810,4400,34
 KY - Lexington,1810,4326,35
 MA - Plymouth,1810,4228,36
 MA - Lynn,1810,4087,37
 NY - Hudson,1810,4048,38
 CT - Hartford,1810,3955,39
 PA - Reading,1810,3462,40
 CT - New London,1810,3238,41
 NJ - Trenton,1810,3002,42
 NJ - Elizabeth,1810,2977,43
 CT - Norwich,1810,2976,44
 PA - York,1810,2847,45
 OH - Cincinnati,1810,2540,46
 NY - New York City,1800,60515,1
 PA - Philadelphia,1800,41220,2
 MD - Baltimore,1800,26514,3
 MA - Boston,1800,24937,4
 SC - Charleston,1800,18824,5
 PA - Northern Liberties,1800,10718,6
 PA - Southwark,1800,9621,7
 MA - Salem,1800,9457,8
 RI - Providence,1800,7614,9
 VA - Norfolk,1800,6926,10
 RI - Newport,1800,6739,11
 MA - Newburyport,1800,5946,12
 VA - Richmond,1800,5737,13
 MA - Nantucket,1800,5617,14
 NH - Portsmouth,1800,5339,15
 MA - Gloucester,1800,5313,16
 NY - Albany,1800,5289,17
 NY - Schenectady,1800,5289,18
 MA - Marblehead,1800,5211,19
 CT - New London,1800,5150,20
 GA - Savannah,1800,5146,21
 VA - Alexandria,1800,4971,22
 MA - Middleborough,1800,4458,23
 MA - New Bedford,1800,4361,24
 PA - Lancaster,1800,4292,25
 CT - New Haven,1800,4049,26
 ME - Portland,1800,3704,27
 NY - Hudson,1800,3664,28
 CT - Hartford,1800,3523,29
 VA - Petersburg,1800,3521,30
 DC - Washington,1800,3210,31
 DC - Georgetown,1800,2993,32
 PA - York,1800,2503,33
 NY - New York City,1790,33131,1
 PA - Philadelphia,1790,28522,2
 MA - Boston,1790,18320,3
 SC - Charleston,1790,16359,4
 MD - Baltimore,1790,13503,5
 PA - Northern Liberties,1790,9913,6
 MA - Salem,1790,7921,7
 RI - Newport,1790,6716,8
 RI - Providence,1790,6380,9
 PA - Southwark,1790,5661,10
 MA - Marblehead,1790,5661,11
 MA - Gloucester,1790,5317,12
 MA - Newburyport,1790,4837,13
 NH - Portsmouth,1790,4720,14
 MA - Nantucket,1790,4620,15
 MA - Middleborough,1790,4526,16
 CT - New Haven,1790,4487,17
 VA - Richmond,1790,3761,18
 NY - Albany,1790,3498,19
 VA - Norfolk,1790,2959,20
 VA - Petersburg,1790,2828,21
 VA - Alexandria,1790,2748,22
 CT - Hartford,1790,2683,23
 NY - Hudson,1790,2584,24
